2026-06-08 21:09:46 [info]: ✅ Successfully connected to MongoDB database
2026-06-08 21:09:46 [info]: ℹ️ Seeder: Default user already exists.
2026-06-08 21:09:46 [info]: 🚀 Server running in development mode on port 8080
2026-06-08 21:09:46 [info]: 🔗 Health check available at http://localhost:8080/health
2026-06-08 21:11:39 [info]: ✅ Successfully connected to MongoDB database
2026-06-08 21:11:39 [info]: ℹ️ Seeder: Default user already exists.
2026-06-08 21:11:39 [info]: 🚀 Server running in development mode on port 8080
2026-06-08 21:11:39 [info]: 🔗 Health check available at http://localhost:8080/health
2026-06-08 21:13:49 [info]: ✅ Successfully connected to MongoDB database
2026-06-08 21:13:49 [info]: ℹ️ Seeder: Default user already exists.
2026-06-08 21:13:49 [info]: 🚀 Server running in development mode on port 8080
2026-06-08 21:13:49 [info]: 🔗 Health check available at http://localhost:8080/health
2026-06-08 21:17:46 [info]: ✅ Successfully connected to MongoDB database
2026-06-08 21:17:47 [info]: ℹ️ Seeder: Default user already exists.
2026-06-08 21:17:47 [info]: 🚀 Server running in development mode on port 8080
2026-06-08 21:17:47 [info]: 🔗 Health check available at http://localhost:8080/health
2026-06-08 21:17:57 [info]: ✅ Successfully connected to MongoDB database
2026-06-08 21:17:58 [info]: ℹ️ Seeder: Default user already exists.
2026-06-08 21:17:58 [info]: 🚀 Server running in development mode on port 8080
2026-06-08 21:17:58 [info]: 🔗 Health check available at http://localhost:8080/health
2026-06-08 21:20:53 [info]: ✅ Successfully connected to MongoDB database
2026-06-08 21:20:54 [info]: ℹ️ Seeder: Default user already exists.
2026-06-08 21:20:54 [info]: 🚀 Server running in development mode on port 8080
2026-06-08 21:20:54 [info]: 🔗 Health check available at http://localhost:8080/health
2026-06-08 21:21:02 [info]: ✅ Successfully connected to MongoDB database
2026-06-08 21:21:03 [info]: ℹ️ Seeder: Default user already exists.
2026-06-08 21:21:03 [info]: 🚀 Server running in development mode on port 8080
2026-06-08 21:21:03 [info]: 🔗 Health check available at http://localhost:8080/health
2026-06-08 21:31:47 [info]: ✅ Successfully connected to MongoDB database
2026-06-08 21:31:48 [info]: ℹ️ Seeder: Default user already exists.
2026-06-08 21:31:48 [info]: 🚀 Server running in development mode on port 8080
2026-06-08 21:31:48 [info]: 🔗 Health check available at http://localhost:8080/health
2026-06-08 22:34:26 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "P2 · Bước vào chu kỳ tháng mới, điện nước nối tiếp", Type: room
2026-06-08 22:34:26 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "P2 · Đã thu tiền 1.286.000 đ", Type: bill
2026-06-08 22:34:27 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "P2 · Đã thu tiền 675.500 đ", Type: bill
2026-06-08 22:34:27 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "P2 · Đã thu tiền 675.500 đ", Type: bill
2026-06-08 22:37:47 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "Tạo phòng mới: P3", Type: room
2026-06-08 22:38:05 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "P3 · Khách mới: Th", Type: member
2026-06-08 22:38:28 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "P3 · Đã ghi điện nước", Type: meter
2026-06-08 22:40:23 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "Tạo phòng mới: Gh", Type: room
2026-06-08 22:40:36 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "Gh · Khách mới: F", Type: member
2026-06-08 22:40:45 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "Gh · Đã ghi điện nước", Type: meter
2026-06-08 22:47:42 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "Gh · Bước vào chu kỳ tháng mới, điện nước nối tiếp", Type: room
2026-06-08 22:47:42 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "Gh · Đã thu tiền 680.499 đ", Type: bill
2026-06-08 22:47:43 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "Gh · Đã thu tiền 669.999 đ", Type: bill
2026-06-08 22:47:43 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "Gh · Đã thu tiền 669.999 đ", Type: bill
2026-06-08 22:48:59 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "P2 · Đã ghi điện nước", Type: meter
